ID_ANUNCIO,TP_ANUNCIO,FACE_SENTIDO,DIM_LARG_M,DIM_COMP_M,EMPRESA_ANUNCIANTE,EMPRESA_IMPLANTA,CADASTRO_DER,CADASTRO_DER_NRO,VALOR,OBS
010170000011,,0,,,,,,,,
010170000022,4,0,,,PIZZA HUT,J. SILVA PAINEIS,,,,
010170000033,4,1,,,COBRECOM,,,,,
010170000044,4,1,,,MAJIPACK,,,,,
010170000055,4,0,,,DI GASPI,,,,,
010170000066,4,1,,,VITGOLD,,,,,
010170000077,4,1,,,EQ MAX,,,,,
010170000088,4,1,,,GIULIANA FLORES,,,,,
010170000099,4,1,,,CASTOR,KARONY PAINEIS,,,,
010170000101,4,0,,,FAZENDA SERRA AZUL,KARONY PAINEIS,,,,
010170000112,4,0,,,CASA DO CONSTRUTOR,KARONY PAINEIS,,,,
010170000123,,0,,,,,,,,
010170000134,4,0,,,MITSUBISHI MOTORS,,,,,
010170000145,4,0,,,GRUPO BOM PASTOR,KARONY PAINEIS,,,,
010170000156,4,0,,,ANUNCIE AQUI,KARONY PAINEIS,,,,
010170000167,4,0,,,TIM,VEX,,,,
010170000178,4,1,,,SUPRISUL,VEX,,,,
010170000189,0,0,,,CAPITAL VILLE,,,,,
010170000191,4,1,,,EMBA LIXO,,,,,
010170000202,4,0,,,DETECT WATER,,,,,
010170000213,4,0,,,EXTRUSA PACK,,,,,
010170000224,4,1,,,HODDI OUTLET,,,,,
010170000235,4,1,,,PANOBIANCO ACADEMIA,,,,,
010170000246,4,1,,,MARLUVAS,KARONY PAINEIS,,,,
010170000257,4,0,,,LIGATEX,,,,,
010170000268,4,0,,,LIGATEX,,,,,
010170000279,4,0,,,RE/MAX,,,,,
010170000281,4,0,,,ETAPA,,,,,
010170000292,4,1,,,CARMEN STEFFENS,VEX,,,,
010170000303,4,0,,,JERONIMO BURGER,,,,,
010170000314,4,0,,,GOLD ACHOCOLATADO,,,,,
010170000325,4,1,,,CSHG LOGISTICA FII,,,,,
010170000336,4,0,,,HOME ANGELS,J. SILVA PAINEIS,,,,
010170000347,4,0,,,CABOMAQ FORESTIERI,,,,,
010170000358,4,0,,,ALUGUEL DE PAINEL,,,,,
010170000369,4,0,,,HOSTFIBER,,,,,
010170000371,4,0,,,HOSTFIBER,,,,,
010170000382,,0,,,,,,,,
010170000393,4,0,,,ALUGUEL DE PAINEL,,,,,
010170000404,4,0,,,LAGO AZUL,,,,,
010170000415,4,0,,,GRUPO MENEGOTTI,,,,,
010170000426,4,0,,,CLARA RESORTS,,,,,
010170000437,4,0,,,ALUGUEL DE PAINEL,KARONY PAINEIS,,,,
010170000448,4,0,,,STARBUCKS COFFEE,BAURU PAINEIS,,,,
010170000459,4,0,,,HARMONIA ASSET MANAGEMENT,,,,,
010170000461,4,1,,,FRANGO ASSADO,,,,,
010170000472,4,0,,,HIRAÇO,,,,,
010170000483,,0,,,ALUGUEL DE PAINEL,,,,,
010170000494,4,0,,,SOLIS SOLAR,,,,,
010170000505,,0,,,,,,,,
010170000516,,0,,,,,,,,
010170000527,4,1,,,FA OLIVA,,,,,
010170000538,4,1,,,LEITE JUSSARA,,,,,
010170000549,4,1,,,REGIONAL TELHAS,KARONY PAINEIS,,,,
010170000551,4,1,,,STARBUCKS COFFEE,,,,,
010170000562,4,0,,,SIDEWALK OUTLET PREMIUM,J. SILVA PAINEIS,,,,
010170000573,,0,,,,,,,,
010170000584,4,1,,,LAGO AZUL,,,,,
010170000595,4,0,,,ALUGUEL DE PAINEL,MAXI VISION,,,,
010170000606,4,1,,,DE MARCHI,,,,,
010170000617,4,1,,,DE MARCHI,,,,,
010170000628,,1,,,,,,,,
010170000639,,1,,,,,,,,
010170000641,4,1,,,PROTEPLUS,CHANGE PAINEIS,,,,
010170000652,4,0,,,ALUGUEL DE PAINEL,MN PAINEIS,,,,
010170000663,4,0,,,ALUGUEL DE PAINEL,MN PAINEIS,,,,
010170000674,4,0,,,MADERO SERRAZUL,,,,,
010170000685,4,0,,,PNEUS TECHNIC,,,,,
010170000696,4,1,,,PETRA TANQUE,J. SILVA PAINEIS,,,,
010170000707,4,0,,,ARCA RETENTORES,,,,,
010170000718,4,1,,,CASA BAUDUCCO,APOCALIPSE PAINEIS,,,,
010170000729,4,1,,,GRAATO SANDUICHES,BAURU PAINEIS,,,,
010170000731,4,1,,,VALENTINA CARAN IMOVEIS,,,,,
010170000742,4,1,,,CENTERVAL INDUSTRIAL LTDA,,,,,
010170000753,1,0,,,CENTRO DE DISTRIBUIÇAO MAGAZINELUIZA,,,,,
010170000764,1,0,,,CENTRO DE DISTRIBUIÇAO MAGAZINELUIZA,,,,,
010170000775,4,0,,,THERMAS PARK,,,,,
010170000786,4,0,,,THERMAS PARK,,,,,
010170000797,4,0,,,THERMAS PARK,,,,,
010170000808,4,1,,,OUTLET PREMIUM,,,,,
010170000819,4,1,,,STARBUCKS COFFEE,BAURU PAINEIS,,,,
010170000821,,0,,,,,,,,
010170000832,4,1,,,OUTLET PREMIUM,,,,,
010170000843,4,0,,,OPERATRIX,,,,,
010170000854,1,0,,,EMBRAMACO,,,,,
010170000865,4,0,,,RS TERCEIRIZAÇAO,,,,,
010170000876,4,0,,,O CEU É AZUL,,,,,
010170000887,4,0,,,FERCORR EMBALAGENS,,,,,
010170000898,4,1,,,KABUM,,,,,
010170000909,4,0,,,KABUM,,,,,
010170000911,4,1,,,KABUM,,,,,
010170000922,4,0,,,KABUM,,,,,
010170000933,4,1,,,LAGO AZUL,,,,,
010170000944,4,0,,,HEREFORDS CHURRASCARIA,BAURU PAINEIS,,,,
010170000955,4,0,,,TINTAS MEGA,BAURU PAINEIS,,,,
010170000966,,1,,,,,,,,
010170000977,4,1,,,UNIMED CAMPINAS,BAURU PAINEIS,,,,
010170000988,4,1,,,OUTLET PREMIUM,BAURU PAINEIS,,,,
010170000999,4,1,,,LEANDRINI BLINDAGENS,,,,,
010170001001,4,0,,,SHOW FAZENDINHA,BAURU PAINEIS,,,,
010170001012,4,1,,,STEFANINI LAND ROVER,,,,,
010170001023,4,0,,,MADERO SERRAZUL,,,,,
010170001034,4,1,,,GOLD,,,,,
010170001045,4,0,,,SAVEGNAGO,,,,,
010170001056,4,0,,,PROPRIEDADE PARTICULAR,,,,,
010170001067,4,1,,,SANASA CAMPINAS,,,,,
010170001078,4,0,,,SANASA CAMPINAS,,,,,
010170001089,4,1,,,HERCULES MOTORES,,,,,
010170001091,,0,,,,,,,,
010170001102,4,1,,,GUAÇU EMBALAGENS,,,,,
010170001113,4,0,,,WFA AÇOS,,,,,
010170001124,0,1,,,VENDA DE LOTEAMENTO,,,,,
010170001135,4,0,,,GARCIA TP,,,,,
